Job Title,Employment Type,Experience Level,Salary,Company Location,Employee Residence,Company Size,Year
Data Engineer,Full-Time,Senior,120000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,166364,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,116455,United States,United States,Medium,2023
Business Intelligence Analyst,Full-Time,Senior,145000,United States,United States,Medium,2023
Business Intelligence Analyst,Full-Time,Senior,125000,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,95000,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,76000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,160000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,131000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,168000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,250000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,140000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,145000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,222000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,166500,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,205600,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,105700,United States,United States,Medium,2023
Business Intelligence Developer,Full-Time,Senior,138000,United States,United States,Medium,2023
Business Intelligence Developer,Full-Time,Senior,67000,United States,United States,Medium,2023
Research Engineer,Full-Time,Senior,211200,United States,United States,Medium,2023
Research Engineer,Full-Time,Senior,176000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,230000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,135000,United States,United States,Medium,2023
Data Analyst,Full-Time,Mid,60000,United States,United States,Medium,2023
Business Intelligence Analyst,Full-Time,Senior,200000,United States,United States,Medium,2023
Business Intelligence Analyst,Full-Time,Senior,180000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,155000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,139500,United States,United States,Medium,2023
Research Scientist,Full-Time,Entry,200000,United States,United States,Medium,2023
Research Scientist,Full-Time,Entry,120000,United States,United States,Medium,2023
Data Scientist,Full-Time,Executive,126500,United States,United States,Medium,2023
Data Scientist,Full-Time,Executive,78000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,157750,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,104650,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,176000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,133000,United States,United States,Medium,2023
Data Analyst,Full-Time,Mid,120000,United States,United States,Medium,2023
Research Scientist,Full-Time,Mid,158080,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,182000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,150000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,171250,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,113750,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,252000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,129000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,231000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,200800,United States,United States,Medium,2023
Research Scientist,Full-Time,Entry,250800,United States,United States,Medium,2023
Research Scientist,Full-Time,Entry,167200,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,159100,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,120160,United States,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,140000,United States,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,110000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Mid,165000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Mid,149094,United States,United States,Medium,2023
Head of Data,Full-Time,Executive,290000,United States,United States,Large,2023
Business Intelligence Engineer,Full-Time,Senior,247500,United States,United States,Medium,2023
Business Intelligence Engineer,Full-Time,Senior,172200,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,175000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,130000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,85000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,72250,United States,United States,Medium,2023
Data Engineer,Full-Time,Executive,162500,United States,United States,Medium,2023
Data Engineer,Full-Time,Executive,130000,United States,United States,Medium,2023
Research Analyst,Full-Time,Senior,83000,United States,United States,Medium,2023
Research Analyst,Full-Time,Senior,63967,United States,United States,Medium,2023
Research Analyst,Full-Time,Senior,188600,United States,United States,Medium,2023
Research Analyst,Full-Time,Senior,111550,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,219300,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,143000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,232200,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,133300,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,80000,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,198900,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,183310,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,392000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,224000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,233000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,199098,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,172000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,107000,United States,United States,Medium,2023
Research Scientist,Full-Time,Senior,220000,United States,United States,Medium,2023
Research Scientist,Full-Time,Senior,150000,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,128000,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,81500,United States,United States,Medium,2023
Research Scientist,Full-Time,Senior,200000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,208450,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,151600,United States,United States,Medium,2023
ML Engineer,Full-Time,Senior,208450,United States,United States,Medium,2023
ML Engineer,Full-Time,Senior,151600,United States,United States,Medium,2023
Research Engineer,Full-Time,Senior,240960,United States,United States,Medium,2023
Research Engineer,Full-Time,Senior,200800,United States,United States,Medium,2023
Data Scientist,Full-Time,Mid,120681,United States,United States,Medium,2023
Data Scientist,Full-Time,Mid,72409,United States,United States,Medium,2023
Research Engineer,Full-Time,Senior,250000,United States,United States,Medium,2023
Research Scientist,Full-Time,Senior,250000,United States,United States,Medium,2023
Research Scientist,Full-Time,Senior,170000,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,167500,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,106500,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,359170,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,310270,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,295490,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,178560,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,148800,United States,United States,Medium,2023
Deep Learning Engineer,Full-Time,Senior,331640,United States,United States,Medium,2023
