Job Title,Experience Level,Salary,Employee Residence,Company Size,Year
Data Engineer,2,196000,0,1,2023
Data Architect,1,135000,0,1,2023
Data Architect,1,115000,0,1,2023
Other,2,302000,0,1,2023
Other,2,189000,0,1,2023
Data Analyst,1,65000,0,1,2023
Data Analyst,1,55000,0,1,2023
Machine Learning Engineer,2,220000,0,1,2023
Machine Learning Engineer,2,170000,0,1,2023
Other,2,150000,0,1,2023
Other,2,93000,0,1,2023
Data Science Manager,2,190000,0,2,2022
Machine Learning Engineer,2,216000,0,1,2023
Machine Learning Engineer,2,184000,0,1,2023
Other,1,100000,0,1,2023
Data Scientist,1,128750,0,1,2023
Data Scientist,1,79350,0,1,2023
Analytics Engineer,2,174000,0,1,2023
Analytics Engineer,2,134000,0,1,2023
Research Engineer,1,155000,0,1,2023
Research Engineer,1,125000,0,1,2023
Data Engineer,2,194400,0,1,2023
Data Engineer,2,132192,0,1,2023
Machine Learning Engineer,2,273400,0,1,2023
Machine Learning Engineer,2,182200,0,1,2023
Data Engineer,2,124230,0,1,2023
Data Engineer,2,68637,0,1,2023
Data Engineer,1,204000,0,1,2023
Data Engineer,1,161500,0,1,2023
Other,2,185900,0,1,2023
Other,2,129300,0,1,2023
Research Scientist,1,100000,0,1,2023
Data Scientist,2,148750,0,1,2023
Data Scientist,2,95000,0,1,2023
ML Engineer,2,287700,0,2,2023
ML Engineer,2,148000,0,2,2023
Data Scientist,2,227240,0,1,2023
Data Scientist,2,197600,0,1,2023
Machine Learning Engineer,2,221000,0,1,2023
Machine Learning Engineer,2,185000,0,1,2023
Data Scientist,2,210000,0,1,2023
Data Scientist,2,178500,0,1,2023
Machine Learning Engineer,1,180000,0,1,2023
Machine Learning Engineer,1,150000,0,1,2023
Data Engineer,2,285000,0,1,2023
Data Engineer,2,205000,0,1,2023
Other,0,90000,1,1,2023
Data Engineer,2,146000,0,1,2023
Machine Learning Engineer,1,237400,0,1,2023
Machine Learning Engineer,1,158200,0,1,2023
ML Engineer,2,192000,0,1,2023
ML Engineer,2,164000,0,1,2023
Other,2,150000,0,1,2023
Other,2,141000,0,1,2023
Analytics Engineer,2,267000,0,1,2023
Analytics Engineer,2,205000,0,1,2023
Research Scientist,2,147100,0,1,2023
Research Scientist,2,90700,0,1,2023
