job_title,experience_level,Salary,company_location,company_size,Year,over_100K,over_150K
Research Scientist,1,175000,United States,1,2023,1,1
Research Scientist,2,210000,United States,1,2023,1,1
Research Scientist,2,151800,United States,1,2023,1,1
Data Architect,1,150000,United States,1,2023,1,1
Data Architect,1,100000,United States,1,2023,1,0
Data Scientist,2,126500,United States,1,2023,1,0
Data Scientist,2,78000,United States,1,2023,0,0
Data Analyst,2,126500,United States,1,2023,1,0
Data Analyst,2,78000,United States,1,2023,0,0
Data Scientist,2,105000,United States,1,2023,1,0
Data Scientist,2,70000,United States,1,2023,0,0
Data Engineer,2,96000,United States,1,2023,0,0
Data Engineer,2,72000,United States,1,2023,0,0
Research Scientist,2,323300,United States,1,2023,1,1
Research Scientist,2,184700,United States,1,2023,1,1
Data Scientist,2,205150,United States,1,2023,1,1
Data Scientist,2,167850,United States,1,2023,1,1
Data Analyst,2,130000,United States,1,2023,1,0
Data Analyst,2,110000,United States,1,2023,1,0
Research Scientist,2,278700,United States,1,2023,1,1
Research Scientist,2,159300,United States,1,2023,1,1
Data Scientist,2,222750,United States,1,2023,1,1
Data Scientist,2,182250,United States,1,2023,1,1
Data Engineer,2,185000,United States,1,2023,1,1
Machine Learning Engineer,2,296400,United States,1,2023,1,1
Machine Learning Engineer,2,148594,United States,1,2023,1,0
Data Scientist,2,206000,United States,1,2023,1,1
Data Scientist,2,140250,United States,1,2023,1,0
Other,2,254500,United States,2,2023,1,1
Other,2,130900,United States,2,2023,1,0
Data Scientist,2,198000,United States,1,2023,1,1
Data Scientist,2,124000,United States,1,2023,1,0
Other,2,234485,United States,1,2023,1,1
Other,2,112655,United States,1,2023,1,0
Data Analyst,0,125000,United States,1,2023,1,0
Data Analyst,0,105000,United States,1,2023,1,0
Data Scientist,2,184184,United States,1,2023,1,1
Data Scientist,2,167441,United States,1,2023,1,1
Data Engineer,3,204500,United States,1,2023,1,1
Analytics Engineer,0,90000,United States,1,2023,0,0
Analytics Engineer,0,84000,United States,1,2023,0,0
Data Engineer,2,202400,United States,1,2023,1,1
Data Engineer,2,147200,United States,1,2023,1,0
Data Scientist,2,90000,United States,1,2023,0,0
Other,2,192000,United States,1,2023,1,1
Other,2,142000,United States,1,2023,1,0
Other,2,143000,United States,1,2023,1,0
Other,2,129000,United States,1,2023,1,0
Data Scientist,2,191000,United States,1,2023,1,1
Data Scientist,2,146000,United States,1,2023,1,0
Other,2,85000,United States,1,2023,0,0
